idno	author-short	title-short	identifier	author-name	wikidata-id	translation	num-authors	author-gender	author-nationality	author-birth-death	book-title	publ-first	publ-edition	publ-ref	publ-decade	publisher	series	collection	subgenre	type	ISBN	translator(s)	title-original	publ-original	references	text-length	language	size	timeSlot	reprintCount	targetcorpus
Vargas_Bois	Vargas	Bois	Vargas_Bois	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		Dans les bois éternels	2006			2000s				policier	populaire						108247	fra	long	T0	unspecified	no
Pouy_Mille	Pouy	Mille	Pouy_Mille	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Mille Deux Cent	2000			2000s				policier	populaire						34261	fra	short	T0	unspecified	no
Manchette_Nada	Manchette	Nada	Manchette_Nada	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		Nada	1972			1970s				policier	populaire						42112	fra	short	T0	unspecified	no
Flynn_Comptoir	Flynn	Comptoir	Flynn_Comptoir	Flynn, J.M.		yes	1	M	USA		Le comptoir aux alouettes		1962		1960s	Gallimard		Série noire	policier	populaire		Béguin, Antoine				43658	fra	short	T0	unspecified	no
Pennac_Monsieur	Pennac	Monsieur	Pennac_Monsieur	Pennac, Daniel		no	1	M	FRA		Malaussene 4 Monsieur M	1995			1990s				policier	populaire						136294	fra	long	T0	unspecified	no
Kane_Cest	Kane	Cest	Kane_Cest	Kane, Henry		yes	1	M			C'est quelqu'un		1961		1960s	Gallimard		Série noire	policier	populaire		Robillot, Henri				57301	fra	medium	T0	unspecified	no
Simenon_Client	Simenon	Client	Simenon_Client	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et le Client du Samedi	1962			1960s				policier	populaire						36312	fra	short	T0	unspecified	no
Vargas_Armee	Vargas	Armee	Vargas_Armee	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		L'Armée Furieuse	1996			1990s				policier	populaire						113727	fra	short	T0	unspecified	no
Pennac_Chretiens	Pennac	Chretiens	Pennac_Chretiens	Pennac, Daniel		no	1	M	FRA		Malaussene 5 Chretiens Maures	1996			1990s				policier	populaire						14217	fra	short	T0	unspecified	no
Dard_Mac	Dard	Mac	Dard_Mac	Dard, Frédéric		no	1	M	FRA		San-Antonio chez les Mac	1961			1960s				policier	populaire						53763	fra	short	T0	unspecified	no
Khadra_Double	Khadra	Double	Khadra_Double	Khadra, Yasmina	https://www.wikidata.org/wiki/Q313182	no	1	M	DZA		Double Blanc	1998			1990s				policier	populaire						36767	fra	short	T0	unspecified	no
BoileauNarcejac_Louves	BoileauNarcejac	Louves	BoileauNarcejac_Louves	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Les Louves	1955			1950s				policier	populaire						49995	fra	short	T0	unspecified	no
Dard_Essaye	Dard	Essaye	Dard_Essaye	Dard, Frédéric		no	1	M	FRA		J'ai Essayé, on peut!	1973			1970s				policier	populaire						66725	fra	medium	T0	unspecified	no
Malet_Abattoir	Malet	Abattoir	Malet_Abattoir	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Abattoir ensoleillé	1972			1970s				policier	populaire						44445	fra	short	T0	unspecified	no
DeCortanze_Miroirs	DeCortanze	Miroirs	DeCortanze_Miroirs	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							33580	fra	short	T0	unspecified	no
Butor_Emploi	Butor	Emploi	Butor_Emploi	Butor, Michel	https://www.wikidata.org/wiki/Q309716	no	1	M	FRA		Emploi Temps	1956			1950s				policier	populaire						116816	fra	long	T0	unspecified	no
Dartois_Horoscope	Dartois	Horoscope	Dartois_Horoscope	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							51942	fra	short	T0	unspecified	no
Abel_Instinct	Abel	Instinct	Abel_Instinct	Abel, Barbara		no	1	F	BEL		L'Instinct maternel		2002		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7024-3074-0					101338	fra	medium	T0	unspecified	no
Pouy_Spinoza	Pouy	Spinoza	Pouy_Spinoza	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Spinoza encule Hegel	1983			1980s				policier	populaire						23801	fra	short	T0	unspecified	no
Rydell_Madame	Rydell	Madame	Rydell_Madame	Rydell, Forbes		yes	1	M			Et avec ca, Madame?		1962		1960s	Gallimard		Série noire	policier	populaire		Watkins, F. M.				52294	fra	medium	T0	unspecified	no
Simenon_Monsieur	Simenon	Monsieur	Simenon_Monsieur	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et Monsieur Charles	1972			1970s				policier	populaire						38476	fra	short	T0	unspecified	no
Dard_Delivrez	Dard	Delivrez	Dard_Delivrez	Dard, Frédéric		no	1	M	FRA		Délivrez-nous du mal	1956			1950s				policier	populaire						33875	fra	short	T0	unspecified	no
Manchette_Dingos	Manchette	Dingos	Manchette_Dingos	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		Ô Dingos, Ô Châteaux !	1972			1970s				policier	populaire						37615	fra	short	T0	unspecified	no
Foster_Casseur	Foster	Casseur	Foster_Casseur	Foster, Richard		yes	1	M			Casseur de rackets		1962		1960s	Gallimard		Série noire	policier	populaire		Wourgaft, C.				53895	fra	medium	T0	unspecified	no
Dard_Passez	Dard	Passez	Dard_Passez	Dard, Frédéric		no	1	M	FRA		Passez-Moi la Joconde	1954			1950s				policier	populaire						40753	fra	short	T0	unspecified	no
Vargas_Sans	Vargas	Sans	Vargas_Sans	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		Sans Feu ni lieu	1997			1990s				policier	populaire						71512	fra	medium	T0	unspecified	no
Malet_Croque	Malet	Croque	Malet_Croque	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Un Croque-Mort nommé Nestor	1969			1960s				policier	populaire						44129	fra	short	T0	unspecified	no
Malet_Nuit	Malet	Nuit	Malet_Nuit	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		La Nuit de Saint-Germain des prés	1955			1950s				policier	populaire						53590	fra	medium	T0	unspecified	no
Japrisot_Dame	Japrisot	Dame	Japrisot_Dame	Japrisot, Sébastien	https://www.wikidata.org/wiki/Q162917	no	1	M	FRA		La Dame dans l'Auto avec des Lunettes et un Fusil	1966			1960s				policier	populaire						85207	fra	medium	T0	unspecified	no
Simenon_Hesite	Simenon	Hesite	Simenon_Hesite	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret Hésite	1968			1960s				policier	populaire						42744	fra	short	T0	unspecified	no
Malet_Drole	Malet	Drole	Malet_Drole	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Drôle d'épreuve pour Nestor Burma	1968			1960s				policier	populaire						51595	fra	medium	T0	unspecified	no
Mabanckou_Demain	Mabanckou	Demain	Mabanckou_Demain	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							100672	fra	long	T0	unspecified	no
Daeninckx_Der	Daeninckx	Der	Daeninckx_Der	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Le Der Des Ders	1984			1980s				policier	populaire						59798	fra	medium	T0	unspecified	no
Malet_Envahissant	Malet	Envahissant	Malet_Envahissant	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		L'Envahissant Cadavre de la plaine Monceau	1959			1950s				policier	populaire						57942	fra	medium	T0	unspecified	no
BoileauNarcejac_Celle	BoileauNarcejac	Celle	BoileauNarcejac_Celle	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Celle Qui n'était plus (Les Diaboliques)	1952			1950s				policier	populaire						46483	fra	short	T0	unspecified	no
Pennac_Fee	Pennac	Fee	Pennac_Fee	Pennac, Daniel		no	1	M	FRA		Malaussene 2 Fee Carabine	1987			1980s				policier	populaire						74542	fra	medium	T0	unspecified	no
VanDeWetering_Massacre	VanDeWetering	Massacre	VanDeWetering_Massacre	van de Wetering, Janwillem	https://www.wikidata.org/wiki/Q964037	yes	1	M			Le Massacre du Maine		1988		1980s	Rivages		Rivages/Noir	policier	populaire	2-86930-130-8	May, Denise		1979		90562	fra	medium	T0	unspecified	no
Japrisot_Piege	Japrisot	Piege	Japrisot_Piege	Japrisot, Sébastien	https://www.wikidata.org/wiki/Q162917	no	1	M	FRA		Piège pour Cendrillon	1963			1960s				policier	populaire						49531	fra	short	T0	unspecified	no
Pace_Mystere	Pace	Mystere	Pace_Mystere	Pace, Laurel		yes	1	M			Le mystère Borodine		1996		1990s	Harlequin		Suspense	policier	populaire	2-280-16671-2	Lamorlette, Marie-José				77233	fra	medium	T0	unspecified	no
Bon_Fait	Bon	Fait	Bon_Fait	Bon, François	https://www.wikidata.org/wiki/Q180038	no	1	M	FRA		Fait Divers	1994			1990s				policier	populaire						36322	fra	short	T0	unspecified	no
Busino_Theoreme	Busino	Theoreme	Busino_Theoreme	Busino, Jean-Jacques	https://www.wikidata.org/wiki/Q16028061	no	1	M	CHE		Le théorème de l'autre		2000		2000s	Rivages		Rivages/Noir	policier	populaire	2-7436-0644-4					37532	fra	short	T0	unspecified	no
Puard_Petite	Puard	Petite	Puard_Petite	Puard, Bertrand	https://www.wikidata.org/wiki/Q2899653	no	1	M			La petite fille, le coyote et la mort		2003		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7026-3109-7					49908	fra	short	T0	unspecified	no
Japrisot_Passager	Japrisot	Passager	Japrisot_Passager	Japrisot, Sébastien	https://www.wikidata.org/wiki/Q162917	no	1	M	FRA		Le Passager de la Pluie	1992			1990s				policier	populaire						33259	fra	short	T0	unspecified	no
Amoz_Bois	Amoz	Bois	Amoz_Bois	Amoz, Claude	https://www.wikidata.org/wiki/Q2976874	no	1	F	FRA		Bois-Brûlé		2002		2000s	Rivages		Rivages/Noir	policier	populaire	27436-0917-6					76096	fra	medium	T0	unspecified	no
Manchette_Fatale	Manchette	Fatale	Manchette_Fatale	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		Fatale	1977			1970s				policier	populaire						29875	fra	short	T0	unspecified	no
Rosemoor_Qui	Rosemoor	Qui	Rosemoor_Qui	Rosemoor, Patricia		yes	1	F			Qui a tué Kim Quillian?		1990		1990s	Harlequin		Suspense	policier	populaire	2-280-16658-5					46782	fra	short	T0	unspecified	no
Pennac_Bonheur	Pennac	Bonheur	Pennac_Bonheur	Pennac, Daniel		no	1	M	FRA		Malaussene 1 Bonheur Ogres	1985			1980s				policier	populaire						61356	fra	medium	T0	unspecified	no
Malet_Direct	Malet	Direct	Malet_Direct	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Nestor Burma En Direct	1962			1960s				policier	populaire						56863	fra	medium	T0	unspecified	no
ViardZacharias_Embrume	ViardZacharias	Embrume	ViardZacharias_Embrume	Viard, Henri / Zacharias, Bernard		no	1	M	FRA		L'embrumé	1966			1960s	Gallimard		Série noire	policier	populaire						44849	fra	short	T0	unspecified	no
Chandler_Tueur	Chandler	Tueur	Chandler_Tueur	Chandler, Raymond		yes	1	M	USA		Un tueur sous la pluie		1972		1970s	Gallimard		Série noire	policier	populaire	2-07-043342-0	Robillot, Henri				65110	fra	medium	T0	unspecified	no
McShane_Royaume	McShane	Royaume	McShane_Royaume	McShane, Mark		yes	1	M			Au royaume des borgnes		1965		1960s	Gallimard		Série noire	policier	populaire		Louedec, G.				46908	fra	short	T0	unspecified	no
Quarry_Totem	Quarry	Totem	Quarry_Totem	Quarry, Nick		yes	1	M			Le totem tue		1961		1960s	Gallimard		Série noire	policier	populaire		Fler, D. & Poli, F.				60957	fra	medium	T0	unspecified	no
Padgett_Enfant	Padgett	Enfant	Padgett_Enfant	Padgett, Abigail	https://www.wikidata.org/wiki/Q321123	yes	1	F			L'Enfant du silence		1995		1990s	Rivages		Rivages/Noir	policier	populaire	2-86930-887-6	Bondil, Danièle / Bondil, Pierre		1993		65584	fra	medium	T0	unspecified	no
Ellroy_Clandestin	Ellroy	Clandestin	Ellroy_Clandestin	Ellroy, James	https://www.wikidata.org/wiki/Q318487	yes	1	M	USA		Clandestin	1988	1990		1980s	Rivages		Rivages/Noir	policier	populaire	2-86930-206-1	Michalski, Freddy		1982		137658	fra	long	T0	unspecified	no
Hansen_Mort	Hansen	Mort	Hansen_Mort	Hansen, Joseph		yes	1	M			Par qui la mort arrive		1986		1980s	Rivages		Rivages/Noir	policier	populaire	2-86930-001-8	Watkins, France-Marie		1975		58624	fra	medium	T0	unspecified	no
Halter_Chambre	Halter	Chambre	Halter_Chambre	Halter, Paul		no	1	M			La chambre d'Horus		2007		2000s	Le Masque		Romans d'aventures	policier	populaire	978-2-7024-3345-4					54745	fra	medium	T0	unspecified	no
Fournel_Roue	Fournel	Roue	Fournel_Roue	Fournel, Jean-Francois		no	1	M	FRA		Dans la roue du tueur		2008		2000s	Le Masque		Romans d'aventures	policier	populaire	978-2-7024-3394-2					65234	fra	medium	T0	unspecified	no
Malet_Burma	Malet	Burma	Malet_Burma	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Nestor Burma Court Poupée	1971			1970s				policier	populaire						47399	fra	short	T0	unspecified	no
BoileauNarcejac_Serment	BoileauNarcejac	Serment	BoileauNarcejac_Serment	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		Le Serment d'Arsène Lupin	1979	1987		1970s				policier	populaire						45562	fra	short	T0	unspecified	no
Amila_Balcon	Amila	Balcon	Amila_Balcon	Amila, Jean		no	1	M	FRA		Balcon Hiroshima	1985			1980s				policier	populaire						39144	fra	short	T0	unspecified	no
Malet_Rebecca	Malet	Rebecca	Malet_Rebecca	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Du Rebecca Rue des Rosiers	1957			1950s				policier	populaire						56573	fra	medium	T0	unspecified	no
Dard_Pain	Dard	Pain	Dard_Pain	Dard, Frédéric		no	1	M	FRA		Le Pain des Fossoyeurs	1956			1950s				policier	populaire						35202	fra	short	T0	unspecified	no
BenzimraA-BenzimraJ_Finir	BenzimraA-BenzimraJ	Finir	BenzimraA-BenzimraJ_Finir	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							50373	fra	short	T0	unspecified	no
Vargas_Vents	Vargas	Vents	Vargas_Vents	Vargas, Fred	https://www.wikidata.org/wiki/Q237087	no	1	F	FRA		Sous les Vents de Neptune	2004			2000s				policier	populaire						113408	fra	long	T0	unspecified	no
Ryck_Peau	Ryck	Peau	Ryck_Peau	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Peau Torpedo	1968			1960s				policier	populaire						43615	fra	short	T0	unspecified	no
Meyrink_Golem	Meyrink	Golem	Meyrink_Golem	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							79969	fra	medium	T0	unspecified	no
Pouy_Train	Pouy	Train	Pouy_Train	Pouy, Jean-Bernard	https://www.wikidata.org/wiki/Q1684705	no	1	M	FRA		Train Perdu, wagon mort	2003			2000s				policier	populaire						37148	fra	short	T0	unspecified	no
Bacque_Richie	Bacque	Richie	Bacque_Richie	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							53634	fra	medium	T0	unspecified	no
Simenon_Picratts	Simenon	Picratts	Simenon_Picratts	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret au Picratt's	1951			1950s				policier	populaire						48087	fra	short	T0	unspecified	no
Prevot_Nuit	Prevot	Nuit	Prevot_Nuit	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							41522	fra	short	T0	unspecified	no
Ryck_Incroyant	Ryck	Incroyant	Ryck_Incroyant	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Incroyant	1970			1970s				policier	populaire						49740	fra	short	T0	unspecified	no
Jourdain_Dernier	Jourdain	Dernier	Jourdain_Dernier	Jourdain, Bernard		no	1	M			Dernier Frisson		2005		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7024-3154-2					67824	fra	medium	T0	unspecified	no
Demaris_Cyclone	Demaris	Cyclone	Demaris_Cyclone	Demaris, Ovid	https://www.wikidata.org/wiki/Q1468771	yes	1	M	USA		Cyclone sur la piscine		1961		1960s	Gallimard		Série noire	policier	populaire		Watkins, F.M.				43450	fra	short	T0	unspecified	no
Ellroy_Part	Ellroy	Part	Ellroy_Part	Ellroy, James	https://www.wikidata.org/wiki/Q318487	yes	1	M	USA		Ma part d'ombre		1999		1990s	Rivages		Rivages/Noir	policier	populaire	978-2-7436-0467-7	Michalski, Freddy		1996		161994	fra	long	T0	unspecified	no
Queffélec_Charme	Queffélec	Charme	Queffélec_Charme	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							71311	fra	medium	T0	unspecified	no
Garen_Malheur	Garen	Malheur	Garen_Malheur	Garen, Jean-Pierre	https://www.wikidata.org/wiki/Q3169320	no	1	M	FRA		Malheur a la defense		1964		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						37719	fra	short	T0	unspecified	no
Simenon_Tueur	Simenon	Tueur	Simenon_Tueur	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et le tueur	1969			1960s				policier	populaire						44006	fra	short	T0	unspecified	no
Jackson_Vecu	Jackson	Vecu	Jackson_Vecu	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							64318	fra	medium	T0	unspecified	no
Craig_Catimini	Craig	Catimini	Craig_Catimini	Craig, Jonathan		yes	1	M	USA		En catimini		1965		1960s	Gallimard		Série noire	policier	populaire		Fillion, J.				50290	fra	short	T0	unspecified	no
Shirreffs_Mal	Shirreffs	Mal	Shirreffs_Mal	Shirreffs, Gordon D.	https://www.wikidata.org/wiki/Q5585045	yes	1	M			Le mal de l'or		1966		1960s	Gallimard		Série noire	policier	populaire		Watkins, F. M.				55209	fra	medium	T0	unspecified	no
Simenon_Affaire	Simenon	Affaire	Simenon_Affaire	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Maigret et l'Affaire Nahour	1966			1960s				policier	populaire						40381	fra	short	T0	unspecified	no
Trouillot_Kannjawou	Trouillot	Kannjawou	Trouillot_Kannjawou	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							45806	fra	short	T0	unspecified	no
Malet_Rats	Malet	Rats	Malet_Rats	Malet, Léo	https://www.wikidata.org/wiki/Q551757	no	1	M	FRA		Les Rats de Montsouris	1955			1950s				policier	populaire						48341	fra	short	T0	unspecified	no
Fournel_Mortels	Fournel	Mortels	Fournel_Mortels	Fournel, Jean-Francois		no	1	M	FRA		Mortels enfantillages		2004		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7024-3147-X					79213	fra	medium	T0	unspecified	no
Daeninckx_Bourreau	Daeninckx	Bourreau	Daeninckx_Bourreau	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Le Bourreau	1986			1980s				policier	populaire						48779	fra	short	T0	unspecified	no
Manchette_Petit	Manchette	Petit	Manchette_Petit	Manchette, Jean-Patrick	https://www.wikidata.org/wiki/Q301951	no	1	M	FRA		Le Petit Bleu de la côté ouest	1976			1970s				policier	populaire						39041	fra	short	T0	unspecified	no
KnightA_Clan	KnightA	Clan	KnightA_Clan	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							55539	fra	medium	T0	unspecified	no
Dard_Initiation	Dard	Initiation	Dard_Initiation	Dard, Frédéric		no	1	M	FRA		Initiation au meurtre	1971			1970s				policier	populaire						46986	fra	short	T0	unspecified	no
BoileauNarcejac_Porte	BoileauNarcejac	Porte	BoileauNarcejac_Porte	Boileau, Pierre / Narcejac, Thomas		no	1	M	FRA		La Porte du Large	1969			1960s				policier	populaire						48521	fra	short	T0	unspecified	no
Lay_Sylvie	Lay	Sylvie	Lay_Sylvie	Lay, André	https://www.wikidata.org/wiki/Q19945126	no	1	M	FRA		Sylvie		1965		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						29141	fra	short	T0	unspecified	no
Rollin_Incendiaires	Rollin	Incendiaires	Rollin_Incendiaires	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							35665	fra	short	T0	unspecified	no
Nobecourt_Grace	Nobecourt	Grace	Nobecourt_Grace	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							121598	fra	long	T0	unspecified	no
Florentz_Creature	Florentz	Creature	Florentz_Creature	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							41328	fra	short	T0	unspecified	no
Ryck_Ashram	Ryck	Ashram	Ryck_Ashram	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Ahrame drame		1966		1960s	Gallimard		Série noire	policier	populaire						51263	fra	medium	T0	unspecified	no
Chandler_Grand	Chandler	Grand	Chandler_Grand	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							71777	fra	medium	T0	unspecified	no
Amila_Pitie	Amila	Pitie	Amila_Pitie	Amila, Jean		no	1	M	FRA		Pitie Rats	1964			1960s				policier	populaire						47271	fra	short	T0	unspecified	no
Echenoz_Cherokee	Echenoz	Cherokee	Echenoz_Cherokee	Echenoz, Jean	https://www.wikidata.org/wiki/Q353882	no	1	M	FRA		Cherokee	1983			1980s				policier	populaire						60037	fra	medium	T0	unspecified	no
Vidal_Cheveu	Vidal	Cheveu	Vidal_Cheveu	Vidal, Georges		no	1	M	FRA		A un cheveu		1962		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						38493	fra	short	T0	unspecified	no
Dominique_Temps	Dominique	Temps	Dominique_Temps	Dominique, Antoine		no	1	M	FRA		Au temps des cerises		1961		1960s	Gallimard		Série noire	policier	populaire						37065	fra	short	T0	unspecified	no
Daeninckx_Geant	Daeninckx	Geant	Daeninckx_Geant	Daeninckx, Didier	https://www.wikidata.org/wiki/Q1210536	no	1	M	FRA		Le Géant Inachevé	1984			1980s				policier	populaire						55436	fra	medium	T0	unspecified	no
Echenoz_Meridien	Echenoz	Meridien	Echenoz_Meridien	Echenoz, Jean	https://www.wikidata.org/wiki/Q353882	no	1	M	FRA		Le Méridien de Greenwich	1979			1970s				policier	populaire						72022	fra	medium	T0	unspecified	no
BardeCabucon_Tuez	BardeCabucon	Tuez	BardeCabucon_Tuez	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							97266	fra	medium	T0	unspecified	no
Fitzgerald_Pericoloso	Fitzgerald	Pericoloso	Fitzgerald_Pericoloso	Fitzgerald, Kevin		yes	1	M			E pericoloso sporgesi (Ne pas se pencher au dehors)		1963		1960s	Gallimard		Série noire	policier	populaire		Maury, André				62261	fra	medium	T0	unspecified	no
Simenon_Scrupules	Simenon	Scrupules	Simenon_Scrupules	Simenon, Georges	https://www.wikidata.org/wiki/Q128790	no	1	M	BEL		Les Scrupules de Maigret	1957			1950s				policier	populaire						42639	fra	short	T0	unspecified	no
Garen_Poursuite	Garen	Poursuite	Garen_Poursuite	Garen, Jean-Pierre	https://www.wikidata.org/wiki/Q3169320	no	1	M	FRA		Poursuite sans espoir		1963		1960s	Fleuve Noir		Roman Special-Police	policier	populaire						37707	fra	short	T0	unspecified	no
Aarons_Attila	Aarons	Attila	Aarons_Attila	Aarons, Edward S.	https://www.wikidata.org/wiki/Q966725	yes	1	M	USA		Attila de poche		1966		1960s	Gallimard		Série noire	policier	populaire		Louedec, G.				42882	fra	short	T0	unspecified	no
Guez_Disparition	Guez	Disparition	Guez_Disparition	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							54998	fra	medium	T0	unspecified	no
Lemaitre_Travail	Lemaitre	Travail	Lemaitre_Travail	Lemaitre, Pierre		no	1	M			Travail soigné. Une enquête de Camille Verhœven		2006		2000s	Le Masque		Romans d'aventures	policier	populaire	2-7024-3362-6					135678	fra	long	T0	unspecified	no
Runyon_Jolie	Runyon	Jolie	Runyon_Jolie	Runyon, Charles	https://www.wikidata.org/wiki/Q16028232	yes	1	M			Ma plus jolie victime		1965		1960s	Gallimard		Série noire	policier	populaire		Watkins, F.M.				61232	fra	medium	T0	unspecified	no
Milne_Mystere	Milne	Mystere	Milne_Mystere	Amila, Jean		no	1	M			Le Boucher des Hurlus	1982	1982		1980s				policier							63536	fra	medium	T0	unspecified	no
Ryck_Conseil	Ryck	Conseil	Ryck_Conseil	Ryck, Francis	https://www.wikidata.org/wiki/Q544562	no	1	M	FRA		Conseil Famille	1983			1980s				policier	populaire						79722	fra	medium	T0	unspecified	no
Jansen_Troïka	Jansen	Troïka	Jansen_Troïka	Jansen, Alain	https://www.wikidata.org/wiki/Q3238295	no	1	M			La troïka		1965		1960s	Gallimard		Série noire	policier	populaire						43208	fra	short	T0	unspecified	no
